Application_ID,Application_Date,Age,Monthly_Income,Employment_Type,Employment_Years,Credit_Score,Existing_Debt,Requested_Amount,Loan_Term_Months,Previous_Defaults,Previous_Applications,Residential_Status,Region,Debt_to_Income,Application_Status
APP100000,2025-01-01,59,15092.0,Permanent,2.0,493,63593.0,86535.0,36,0,4,Rent,Eastern Cape,0.351,Approved
APP100001,2025-01-01,49,6765.0,Contract,26.0,557,9895.0,51596.0,48,0,3,Own,North West,0.122,Declined
APP100002,2025-01-01,35,10734.0,Contract,34.0,598,29788.0,178824.0,72,0,2,Rent,Western Cape,0.231,Declined
APP100003,2025-01-01,63,23395.0,Permanent,30.0,603,68366.0,115112.0,72,0,3,Rent,Free State,0.244,Approved
APP100004,2025-01-01,28,46253.0,Permanent,20.0,464,50056.0,142433.0,12,0,1,Rent,Mpumalanga,0.09,Approved
APP100005,2025-01-01,41,17060.0,Permanent,21.0,663,95464.0,88686.0,12,0,2,Rent,Gauteng,0.466,Approved
APP100006,2025-01-01,59,21556.0,Permanent,18.0,534,54375.0,149803.0,48,0,2,Own,Mpumalanga,0.21,Declined
APP100007,2025-01-01,39,30394.0,Temporary,13.0,637,75693.0,17612.0,12,0,3,Rent,Free State,0.208,Approved
APP100008,2025-01-01,43,11523.0,Self-employed,22.0,551,34431.0,69195.0,24,0,2,Living with family,KwaZulu-Natal,0.249,Approved
APP100009,2025-01-01,31,22024.0,Permanent,25.0,506,58798.0,186342.0,12,0,0,Rent,Western Cape,0.222,Approved
APP100010,2025-01-01,31,11978.0,Permanent,11.0,636,19863.0,134861.0,24,0,1,Living with family,North West,0.138,Declined
APP100011,2025-01-01,44,28963.0,Permanent,0.0,625,90234.0,104287.0,24,1,1,Own,Eastern Cape,0.26,Approved
APP100012,2025-01-01,56,19563.0,Contract,33.0,647,55922.0,44604.0,24,0,3,Rent,Western Cape,0.238,Approved
APP100013,2025-01-01,60,21211.0,Self-employed,18.0,760,17017.0,109308.0,72,0,0,Own,Eastern Cape,0.067,Approved
APP100014,2025-01-01,44,11704.0,Permanent,22.0,693,37482.0,95512.0,48,0,2,Own,KwaZulu-Natal,0.267,Approved
APP100015,2025-01-01,23,26556.0,Self-employed,6.0,788,333080.0,29965.0,24,0,2,Own,Gauteng,1.045,Approved
APP100016,2025-01-01,42,56654.0,Permanent,6.0,617,38604.0,138262.0,12,1,1,Own,Northern Cape,0.057,Approved
APP100017,2025-01-02,22,10340.0,Permanent,0.0,586,35157.0,62262.0,60,0,0,Own,Eastern Cape,0.283,Declined
APP100018,2025-01-02,44,14932.0,Self-employed,17.0,674,24506.0,36869.0,24,1,1,Rent,KwaZulu-Natal,0.137,Approved
APP100019,2025-01-02,64,20445.0,Permanent,7.0,779,18985.0,31591.0,12,0,0,Own,Eastern Cape,0.077,Approved
APP100020,2025-01-02,50,27741.0,Permanent,24.0,556,20593.0,50003.0,12,0,3,Living with family,Mpumalanga,0.062,Approved
APP100021,2025-01-02,58,13232.0,Contract,28.0,745,226112.0,82888.0,36,0,0,Rent,Gauteng,1.424,Declined
APP100022,2025-01-02,22,5000.0,Permanent,22.0,676,60273.0,52350.0,12,1,3,Rent,Mpumalanga,1.005,Declined
APP100023,2025-01-02,41,38013.0,Permanent,28.0,607,14523.0,39024.0,36,1,1,Rent,KwaZulu-Natal,0.032,Declined
APP100024,2025-01-02,53,27348.0,Self-employed,0.0,753,45708.0,44751.0,12,0,0,,Free State,0.139,Declined
APP100025,2025-01-02,32,6902.0,Contract,14.0,550,102499.0,78857.0,24,0,1,Rent,Gauteng,1.238,Declined
APP100026,2025-01-02,42,12887.0,Self-employed,14.0,690,63213.0,130106.0,72,0,1,Own,Gauteng,0.409,Declined
APP100027,2025-01-02,64,42643.0,Permanent,27.0,626,14976.0,72831.0,36,1,1,Rent,Western Cape,0.029,Declined
APP100028,2025-01-02,45,39911.0,Permanent,35.0,724,75607.0,221941.0,36,0,0,Rent,Northern Cape,0.158,Approved
APP100029,2025-01-02,47,30163.0,Temporary,31.0,665,46102.0,39107.0,36,0,2,Living with family,Northern Cape,0.127,Approved
APP100030,2025-01-02,62,16338.0,Permanent,12.0,722,53410.0,46059.0,24,0,3,Own,Eastern Cape,0.272,Approved
APP100031,2025-01-02,48,18841.0,Permanent,20.0,644,197887.0,100640.0,60,2,0,Rent,Limpopo,0.875,Declined
APP100032,2025-01-02,36,16749.0,Permanent,8.0,607,44282.0,62925.0,24,0,1,Living with family,North West,0.22,Approved
APP100033,2025-01-03,35,33479.0,Permanent,19.0,634,25701.0,146729.0,60,0,3,Own,Gauteng,0.064,Declined
APP100034,2025-01-03,64,11119.0,Permanent,19.0,654,11278.0,28931.0,24,0,1,Living with family,Western Cape,0.085,Approved
APP100035,2025-01-03,23,11556.0,Self-employed,7.0,666,25834.0,84519.0,12,0,0,Rent,KwaZulu-Natal,0.186,Declined
APP100036,2025-01-03,57,31375.0,Temporary,13.0,691,24645.0,109537.0,24,0,0,Living with family,KwaZulu-Natal,0.065,Approved
APP100037,2025-01-03,27,17566.0,Permanent,19.0,641,9792.0,21547.0,60,0,3,Rent,Mpumalanga,0.046,Approved
APP100038,2025-01-03,41,38418.0,Contract,34.0,691,77005.0,29785.0,48,0,1,Own,Northern Cape,0.167,Approved
APP100039,2025-01-03,29,12442.0,Self-employed,20.0,806,67384.0,46770.0,12,0,3,Rent,Limpopo,0.451,Approved
APP100040,2025-01-03,59,17466.0,Contract,21.0,586,44161.0,29040.0,36,0,0,Own,Mpumalanga,0.211,Cancelled
APP100041,2025-01-03,38,10838.0,Permanent,5.0,715,20277.0,66069.0,24,0,1,Own,Northern Cape,0.156,Approved
APP100042,2025-01-03,24,18073.0,Permanent,26.0,589,54944.0,109215.0,72,0,4,Rent,Western Cape,0.253,Approved
APP100043,2025-01-03,45,7982.0,Permanent,3.0,569,74400.0,49494.0,12,0,1,Living with family,Mpumalanga,0.777,Declined
APP100044,2025-01-03,34,13766.0,Permanent,3.0,748,184979.0,113300.0,60,0,0,Living with family,Free State,1.12,Declined
APP100045,2025-01-03,29,8170.0,Permanent,27.0,572,59455.0,35852.0,36,0,0,Own,Western Cape,0.606,Approved
APP100046,2025-01-03,46,26365.0,Permanent,26.0,638,65067.0,41929.0,60,0,1,Rent,Northern Cape,0.206,Approved
APP100047,2025-01-03,22,26696.0,Permanent,16.0,580,51484.0,44872.0,12,0,1,Own,Free State,0.161,Approved
APP100048,2025-01-03,40,6950.0,Permanent,28.0,821,38539.0,61072.0,12,0,1,Living with family,Gauteng,0.462,Approved
APP100049,2025-01-03,48,37488.0,Permanent,6.0,638,84121.0,23987.0,12,0,0,Living with family,Free State,0.187,Declined
APP100050,2025-01-04,27,71090.0,Permanent,7.0,557,43156.0,27166.0,12,0,1,Rent,KwaZulu-Natal,0.051,Cancelled
APP100051,2025-01-04,64,18461.0,Contract,32.0,575,40032.0,24678.0,60,1,1,Living with family,Mpumalanga,0.181,Approved
APP100052,2025-01-04,28,12651.0,Permanent,31.0,799,33615.0,81546.0,48,0,3,Living with family,Eastern Cape,0.221,Approved
APP100053,2025-01-04,55,85094.0,Self-employed,34.0,624,35568.0,87103.0,12,0,1,Own,Western Cape,0.035,Approved
APP100054,2025-01-04,34,8714.0,Temporary,17.0,634,58924.0,10000.0,36,0,1,Living with family,Gauteng,0.563,Declined
APP100055,2025-01-04,37,18200.0,Contract,15.0,751,74057.0,203616.0,60,1,3,Own,KwaZulu-Natal,0.339,Approved
APP100056,2025-01-04,56,19869.0,Contract,17.0,736,25333.0,19621.0,24,1,0,Own,Northern Cape,0.106,Approved
APP100057,2025-01-04,60,37720.0,Self-employed,24.0,574,53297.0,125887.0,24,0,0,Own,Eastern Cape,0.118,Approved
APP100058,2025-01-04,24,21938.0,Permanent,33.0,580,21994.0,138983.0,60,0,1,Own,Eastern Cape,0.084,Pending
APP100059,2025-01-04,22,13683.0,Temporary,3.0,599,74505.0,146725.0,60,0,1,Rent,Eastern Cape,0.454,Approved
APP100060,2025-01-04,26,10668.0,Contract,4.0,615,145995.0,45885.0,12,0,1,Other,Free State,1.14,Declined
APP100061,2025-01-04,62,14915.0,Contract,13.0,702,69917.0,75172.0,60,0,1,Own,Gauteng,0.391,Approved
APP100062,2025-01-04,24,10346.0,Permanent,0.0,633,34912.0,62070.0,36,0,2,Rent,Gauteng,0.281,Declined
APP100063,2025-01-04,49,18480.0,Permanent,21.0,617,102185.0,226186.0,24,0,5,Own,Eastern Cape,0.461,Approved
APP100064,2025-01-04,38,13198.0,Contract,20.0,640,16737.0,58921.0,36,0,0,Own,Mpumalanga,0.106,Declined
APP100065,2025-01-04,46,7914.0,Contract,12.0,598,57306.0,172523.0,72,0,1,Living with family,KwaZulu-Natal,0.603,Approved
APP100066,2025-01-05,64,35899.0,Contract,35.0,757,432121.0,36211.0,36,0,2,Own,North West,1.003,Cancelled
APP100067,2025-01-05,54,13690.0,Permanent,28.0,588,22276.0,46697.0,12,0,2,Own,Western Cape,0.136,Declined
APP100068,2025-01-05,30,8961.0,Permanent,8.0,642,34730.0,57526.0,72,0,3,Own,Mpumalanga,0.323,Declined
APP100069,2025-01-05,56,16409.0,Permanent,32.0,686,37754.0,70860.0,60,1,3,Living with family,Gauteng,0.192,Declined
APP100070,2025-01-05,34,18690.0,Permanent,21.0,691,18396.0,67600.0,72,2,2,Own,Northern Cape,0.082,Approved
APP100071,2025-01-05,51,6888.0,Permanent,16.0,611,24681.0,47605.0,24,2,2,Own,Mpumalanga,0.299,Pending
APP100072,2025-01-05,35,21602.0,Permanent,22.0,722,46075.0,17745.0,24,1,1,,Limpopo,0.178,Approved
APP100073,2025-01-05,28,10119.0,Permanent,35.0,801,163023.0,30790.0,24,0,1,Rent,Limpopo,1.343,Approved
APP100074,2025-01-05,34,46129.0,Permanent,5.0,775,66055.0,100179.0,36,0,3,Living with family,Northern Cape,0.119,Declined
APP100075,2025-01-05,43,24012.0,Permanent,28.0,454,110310.0,123902.0,72,0,0,Own,Free State,0.383,Declined
APP100076,2025-01-05,60,14446.0,Self-employed,26.0,634,87833.0,58224.0,24,0,2,Rent,Limpopo,0.507,Approved
APP100077,2025-01-05,41,11948.0,Contract,4.0,590,59404.0,41344.0,24,1,1,Own,Northern Cape,0.414,Approved
APP100078,2025-01-05,36,16990.0,Contract,8.0,682,10746.0,23419.0,36,0,1,Rent,North West,0.053,Approved
APP100079,2025-01-05,65,25214.0,Permanent,23.0,719,163652.0,172318.0,12,1,0,Own,KwaZulu-Natal,0.541,Declined
APP100080,2025-01-05,38,17749.0,Permanent,18.0,554,102517.0,99419.0,36,0,0,Rent,Limpopo,0.481,Declined
